lead,target,fold,feature_group,model,rmse,skill_vs_clim,skill_vs_persist
1,whdi_6,3,combined,lstm,0.7188669760324633,0.4372433628760928,-1.961646692729094
1,whdi_6,4,combined,elasticnet,0.292059449059497,0.9088653167515612,0.716735634200544
1,whdi_6,4,combined,random_forest,0.3401434365035675,0.8763866559157969,0.6157856233404797
1,whdi_6,4,combined,xgboost,0.3394021416874886,0.8769248646225197,0.6174584809457668
1,whdi_6,4,combined,lstm,0.6619166496940675,0.5318901540165958,-0.4549766776003099
1,whdi_6,5,combined,elasticnet,0.3006863874828032,0.7677385046963643,0.7023989873411813
1,whdi_6,5,combined,random_forest,0.3378208463771278,0.7068279429515177,0.6243531415018341
1,whdi_6,5,combined,xgboost,0.3217350177243325,0.734082850122682,0.6592753655383965
1,whdi_6,5,combined,lstm,0.5278537658478957,0.2842243311378181,0.08286320291078342
1,whdi_6,6,combined,elasticnet,0.4223283486103334,0.9129258344491128,0.4679504362528608
1,whdi_6,6,combined,random_forest,0.5225527374970169,0.8666941810761757,0.1854610106837462
1,whdi_6,6,combined,xgboost,0.4667279270103323,0.8936551583934794,0.3502007601733329
1,whdi_6,6,combined,lstm,0.8498750596667718,0.6473864296782681,-1.1545758730396116
1,whdi_6,7,combined,elasticnet,0.2237087047553838,0.9526885844620754,0.6237654776892696
1,whdi_6,7,combined,random_forest,0.2564118566933678,0.9378449554002904,0.5057245011950933
1,whdi_6,7,combined,xgboost,0.2619017279992942,0.9351549389805482,0.484332686319496
1,whdi_6,7,combined,lstm,0.5007958047565109,0.7629054671783877,-0.8854466154604985
